storm_date,county,state,event_type,tier_severe,tier_moderate,magnitude,storm_duration_hrs,month,is_winter,is_summer,is_hurricane_season,baseline_typical,baseline_high,baseline_extreme,baseline_p25,baseline_n_history,tree_canopy_pct,population_density,infrastructure_vulnerability,land_area_sqmi,population_2023,actual_customers,predicted_customers,predicted_major,predicted_critical,actual_major,actual_critical,major_correct,critical_correct,ci_pct,ci_low,ci_high,in_ci,pct_error
2020-08-28 15:16:00,Chester,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,8,0,1,1,2089.0,3446.0,9478.5,1391.5,943,48,741.7,0.436,750,556280,2875.0,2780.440185546875,True,False,True,False,True,True,0.55,1251.0,4310.0,True,3.2890370244565217
2020-08-28 15:21:00,Bucks,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,8,0,1,1,2167.0,3708.0,10131.799999999992,1431.0,949,50,1074.1,0.515,604,648778,13074.0,4666.25830078125,True,False,True,True,True,False,0.55,2100.0,7233.0,False,64.30887027090982
2020-08-28 15:21:00,Chester,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,8,0,1,1,2089.0,3446.0,9478.5,1391.5,943,48,741.7,0.436,750,556280,2875.0,2745.638916015625,True,False,True,False,True,True,0.55,1236.0,4256.0,True,4.499515964673913
2020-08-28 15:21:00,Chester,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,8,0,1,1,2089.0,3446.0,9478.5,1391.5,943,48,741.7,0.436,750,556280,2875.0,2912.74462890625,True,False,True,False,True,True,0.55,1311.0,4515.0,True,1.3128566576086957
2020-08-28 15:21:00,Montgomery,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,8,0,1,1,1824.0,3156.0,9291.199999999995,1303.0,1085,42,1783.3,0.609,483,861332,1112.0,3573.26123046875,True,False,True,False,True,True,0.55,1608.0,5539.0,False,221.3364415889164
2020-08-28 15:23:00,Bucks,Pennsylvania,Thunderstorm Wind,0,1,55.0,0.5,8,0,1,1,2167.0,3708.0,10131.799999999992,1431.0,949,50,1074.1,0.515,604,648778,13074.0,14351.1806640625,True,True,True,True,True,True,0.55,6458.0,22244.0,True,9.768859293731834
2020-08-28 15:36:00,Montgomery,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,8,0,1,1,1824.0,3156.0,9291.199999999995,1303.0,1085,42,1783.3,0.609,483,861332,1112.0,3482.01953125,True,False,True,False,True,True,0.55,1567.0,5397.0,False,213.1312528102518
2020-08-28 15:31:00,Montgomery,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,8,0,1,1,1824.0,3156.0,9291.199999999995,1303.0,1085,42,1783.3,0.609,483,861332,1112.0,3096.56640625,True,False,True,False,True,True,0.55,1393.0,4800.0,False,178.46820200089928
2020-08-28 15:32:00,Bucks,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,8,0,1,1,2167.0,3708.0,10131.799999999992,1431.0,949,50,1074.1,0.515,604,648778,13074.0,4816.158203125,True,False,True,True,True,False,0.55,2167.0,7465.0,False,63.16232061247514
2020-08-28 15:29:00,Bucks,Pennsylvania,Thunderstorm Wind,0,1,55.0,0.5,8,0,1,1,2167.0,3708.0,10131.799999999992,1431.0,949,50,1074.1,0.515,604,648778,13074.0,13776.84375,True,True,True,True,True,True,0.55,6200.0,21354.0,True,5.375889169343736
2020-08-28 15:29:00,Chester,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,8,0,1,1,2089.0,3446.0,9478.5,1391.5,943,48,741.7,0.436,750,556280,2875.0,2982.230224609375,True,False,True,False,True,True,0.55,1342.0,4622.0,True,3.7297469429347827
2020-08-28 15:30:00,Bucks,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,8,0,1,1,2167.0,3708.0,10131.799999999992,1431.0,949,50,1074.1,0.515,604,648778,13074.0,5937.26220703125,True,False,True,True,True,False,0.55,2672.0,9203.0,False,54.58725556806448
2020-08-28 15:26:00,Montgomery,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,8,0,1,1,1824.0,3156.0,9291.199999999995,1303.0,1085,42,1783.3,0.609,483,861332,1112.0,3573.26123046875,True,False,True,False,True,True,0.55,1608.0,5539.0,False,221.3364415889164
2020-08-28 15:26:00,Montgomery,Pennsylvania,Thunderstorm Wind,0,1,50.0,0.5,8,0,1,1,1824.0,3156.0,9291.199999999995,1303.0,1085,42,1783.3,0.609,483,861332,1112.0,3482.01953125,True,False,True,False,True,True,0.55,1567.0,5397.0,False,213.1312528102518
2020-08-28 15:59:00,Bucks,Pennsylvania,Thunderstorm Wind,0,1,55.0,0.5,8,0,1,1,2167.0,3708.0,10131.799999999992,1431.0,949,50,1074.1,0.515,604,648778,13074.0,12407.8544921875,True,True,True,True,True,True,0.55,5584.0,19232.0,True,5.095192808723421
2020-08-28 16:30:00,Ocean,New Jersey,Thunderstorm Wind,1,0,60.0,0.5,8,0,1,1,2510.0,4476.5,11575.899999999981,1675.0,1235,45,1063.9,0.483,628,668132,11016.0,39708.6953125,True,True,True,True,True,True,0.65,13898.0,65519.0,False,260.46382818173566
2020-08-28 16:35:00,Ocean,New Jersey,Thunderstorm Wind,0,1,55.0,0.5,8,0,1,1,2510.0,4476.5,11575.899999999981,1675.0,1235,45,1063.9,0.483,628,668132,11016.0,10854.6962890625,True,True,True,True,True,True,0.55,4885.0,16825.0,True,1.4642675284812998
2020-08-28 16:38:00,Ocean,New Jersey,Thunderstorm Wind,0,1,50.0,0.5,8,0,1,1,2510.0,4476.5,11575.899999999981,1675.0,1235,45,1063.9,0.483,628,668132,11016.0,4604.3974609375,True,False,True,True,True,False,0.55,2072.0,7137.0,False,58.20263742794572
2020-08-28 16:38:00,Ocean,New Jersey,Thunderstorm Wind,0,1,55.0,0.5,8,0,1,1,2510.0,4476.5,11575.899999999981,1675.0,1235,45,1063.9,0.483,628,668132,11016.0,10854.6962890625,True,True,True,True,True,True,0.55,4885.0,16825.0,True,1.4642675284812998
2020-08-28 16:40:00,Ocean,New Jersey,Thunderstorm Wind,0,1,55.0,0.5,8,0,1,1,2510.0,4476.5,11575.899999999981,1675.0,1235,45,1063.9,0.483,628,668132,11016.0,14279.7744140625,True,True,True,True,True,True,0.55,6426.0,22134.0,True,29.627581827001638
2020-08-28 16:43:00,Ocean,New Jersey,Thunderstorm Wind,0,1,55.0,0.5,8,0,1,1,2510.0,4476.5,11575.899999999981,1675.0,1235,45,1063.9,0.483,628,668132,11016.0,13584.443359375,True,True,True,True,True,True,0.55,6113.0,21056.0,True,23.315571526643065
2020-10-07 16:43:00,Fairfield,Connecticut,Thunderstorm Wind,0,1,52.0,0.5,10,0,0,1,1914.0,3186.75,14264.400000000007,1340.75,684,52,1529.4,0.618,626,957419,2005.0,3096.843994140625,True,False,True,False,True,True,0.55,1394.0,4800.0,True,54.456059558135905
2020-10-07 16:43:00,Fairfield,Connecticut,Thunderstorm Wind,0,1,52.0,0.5,10,0,0,1,1914.0,3186.75,14264.400000000007,1340.75,684,52,1529.4,0.618,626,957419,2005.0,3096.843994140625,True,False,True,False,True,True,0.55,1394.0,4800.0,True,54.456059558135905
2020-10-07 16:50:00,Fairfield,Connecticut,Thunderstorm Wind,0,1,52.0,0.5,10,0,0,1,1914.0,3186.75,14264.400000000007,1340.75,684,52,1529.4,0.618,626,957419,2005.0,2396.803955078125,True,False,True,False,True,True,0.55,1079.0,3715.0,True,19.54134439292394
2020-10-07 17:05:00,New Haven,Connecticut,Thunderstorm Wind,0,1,55.0,0.5,10,0,0,1,1892.0,3145.0,11623.449999999972,1411.5,628,48,1425.0,0.573,605,862127,3722.0,3086.830322265625,True,False,True,False,True,True,0.55,1389.0,4785.0,True,17.06527882145016
2020-08-04 09:51:00,Philadelphia,Pennsylvania,Tornado,1,0,0.0,0.5,8,0,1,1,1830.0,2771.0,5455.1,1354.0,1507,20,11571.2,0.52,134,1550542,5698.0,5844.30029296875,True,False,True,False,True,True,0.65,2046.0,9643.0,True,2.5675727091742715
2020-08-04 09:50:00,Bucks,Pennsylvania,Tornado,1,0,0.0,0.5,8,0,1,1,2167.0,3708.0,10131.799999999992,1431.0,949,50,1074.1,0.515,604,648778,79252.0,81645.2421875,True,True,True,True,True,True,0.65,28576.0,134715.0,True,3.019787749835966
2020-10-07 17:05:00,New Haven,Connecticut,Thunderstorm Wind,0,1,52.0,0.5,10,0,0,1,1892.0,3145.0,11623.449999999972,1411.5,628,48,1425.0,0.573,605,862127,3722.0,4126.22021484375,True,False,True,False,True,True,0.55,1857.0,6396.0,True,10.860295938843363
2020-10-07 16:38:00,Fairfield,Connecticut,Thunderstorm Wind,0,1,52.0,0.5,10,0,0,1,1914.0,3186.75,14264.400000000007,1340.75,684,52,1529.4,0.618,626,957419,2005.0,3096.843994140625,True,False,True,False,True,True,0.55,1394.0,4800.0,True,54.456059558135905
2020-10-07 16:39:00,Fairfield,Connecticut,Thunderstorm Wind,0,1,52.0,0.5,10,0,0,1,1914.0,3186.75,14264.400000000007,1340.75,684,52,1529.4,0.618,626,957419,2005.0,2186.0869140625,True,False,True,False,True,True,0.55,984.0,3388.0,True,9.031766287406484
2020-08-04 09:44:00,Montgomery,Pennsylvania,Tornado,1,0,0.0,0.5,8,0,1,1,1824.0,3156.0,9291.199999999995,1303.0,1085,42,1783.3,0.609,483,861332,55420.0,4572.7255859375,True,False,True,True,True,False,0.65,1600.0,7545.0,False,91.74896141115572
2020-08-04 09:55:00,Bucks,Pennsylvania,Tornado,1,0,0.0,0.5,8,0,1,1,2167.0,3708.0,10131.799999999992,1431.0,949,50,1074.1,0.515,604,648778,79252.0,16030.3505859375,True,True,True,True,True,True,0.65,5611.0,26450.0,False,79.7729387448424
2020-01-18 20:00:00,Kennebec,Maine,Winter Storm,0,1,0.0,11.0,1,1,0,0,2161.0,3721.0,12407.999999999998,1309.0,395,71,143.4,0.455,868,124446,76.0,731.6182861328125,False,False,False,False,True,True,0.55,329.0,1134.0,False,862.6556396484375
2020-01-16 04:00:00,Androscoggin,Maine,Heavy Snow,0,1,0.0,13.0,1,1,0,0,1858.0,2630.75,11302.5,1307.5,396,66,239.5,0.444,468,112072,219.0,490.6172790527344,False,False,False,False,True,True,0.55,221.0,760.0,False,124.02615481860018
2020-03-23 19:00:00,Kennebec,Maine,Winter Storm,0,1,0.0,8.0,3,0,0,0,2161.0,3721.0,12407.999999999998,1309.0,395,71,143.4,0.455,868,124446,1111.0,200.0,False,False,True,False,False,True,0.55,90.0,310.0,False,81.998199819982
2020-03-29 13:05:00,Erie,New York,Thunderstorm Wind,0,1,50.0,0.5,3,0,0,0,2051.0,3355.0,12588.0,1377.5,975,38,911.1,0.41,1043,950257,13.0,200.0,False,False,False,False,True,True,0.55,90.0,310.0,False,1438.4615384615386
2020-03-29 13:07:00,Erie,New York,Thunderstorm Wind,0,1,50.0,0.5,3,0,0,0,2051.0,3355.0,12588.0,1377.5,975,38,911.1,0.41,1043,950257,13.0,200.0,False,False,False,False,True,True,0.55,90.0,310.0,False,1438.4615384615386
2020-03-29 13:08:00,Erie,New York,Thunderstorm Wind,0,1,50.0,0.5,3,0,0,0,2051.0,3355.0,12588.0,1377.5,975,38,911.1,0.41,1043,950257,13.0,200.0,False,False,False,False,True,True,0.55,90.0,310.0,False,1438.4615384615386
2020-03-29 13:12:00,Erie,New York,Thunderstorm Wind,0,1,50.0,0.5,3,0,0,0,2051.0,3355.0,12588.0,1377.5,975,38,911.1,0.41,1043,950257,13.0,200.0,False,False,False,False,True,True,0.55,90.0,310.0,False,1438.4615384615386
