county,state,date_only,wind_speed_max,wind_gust_max,wind_dir,precip_sum,rain_sum,snowfall_sum,temp_mean,temp_max,temp_min,soil_moisture_shallow,soil_moisture_deep
Middlesex,Massachusetts,2020-05-15,11.7,32.0,224,5.3,5.3,0.0,17.0,24.8,10.0,0.3099,0.3145
Suffolk,Massachusetts,2020-05-15,13.2,30.9,221,3.5,3.5,0.0,17.4,24.9,10.5,0.2315,0.2917
Ocean,New Jersey,2020-04-21,19.9,48.1,240,8.0,8.0,0.0,10.3,16.9,5.7,0.3568,0.3466
Monmouth,New Jersey,2020-04-21,15.6,44.7,238,9.4,9.4,0.0,9.3,17.6,5.0,0.2566,0.2488
Middlesex,New Jersey,2020-04-09,23.9,46.8,253,5.7,5.7,0.0,10.6,18.0,6.1,0.374,0.358
Montgomery,Pennsylvania,2020-04-09,21.3,49.7,257,4.9,4.9,0.0,10.5,18.0,7.2,0.382,0.3575
Chester,Pennsylvania,2020-04-09,21.4,51.0,264,5.1,5.1,0.0,10.6,18.6,5.6,0.4615,0.4212
Chester,Pennsylvania,2020-04-21,20.8,44.7,258,6.8,6.8,0.0,8.7,13.5,3.8,0.4441,0.4462
Allegheny,Pennsylvania,2020-04-08,14.6,29.3,287,3.1,3.1,0.0,15.2,20.3,10.9,0.4929,0.4831
Monmouth,New Jersey,2020-04-09,16.1,47.4,233,7.2,7.2,0.0,10.6,18.0,5.7,0.2689,0.2499
Bucks,Pennsylvania,2020-04-09,20.4,50.8,251,4.3,4.3,0.0,10.1,17.9,5.3,0.3764,0.3541
Philadelphia,Pennsylvania,2020-04-09,24.7,47.6,259,5.1,5.1,0.0,11.3,19.2,8.1,0.348,0.3082
Nassau,New York,2020-04-09,21.9,47.9,241,20.4,20.4,0.0,9.1,14.0,6.1,0.4021,0.3974
Suffolk,New York,2020-04-09,25.3,52.6,217,16.1,16.1,0.0,9.0,12.5,6.9,0.4001,0.3958
Essex,Massachusetts,2020-08-23,7.8,26.2,222,0.1,0.1,0.0,23.5,31.0,17.0,0.2005,0.167
Middlesex,Massachusetts,2020-08-23,8.6,23.0,232,8.0,8.0,0.0,23.3,33.5,17.6,0.1829,0.1736
Worcester,Massachusetts,2020-08-23,8.5,23.3,248,2.3,2.3,0.0,23.5,31.8,17.3,0.0959,0.0768
Philadelphia,Pennsylvania,2020-04-21,17.2,48.8,250,5.4,5.4,0.0,9.6,16.1,4.9,0.3111,0.3162
Chittenden,Vermont,2020-05-29,12.9,34.9,203,6.5,6.5,0.0,24.5,29.5,19.5,0.095,0.1358
Middlesex,New Jersey,2020-04-13,26.9,68.5,198,40.3,40.3,0.0,16.2,19.2,13.4,0.4101,0.3968
Essex,New Jersey,2020-04-21,16.2,45.9,243,8.4,8.4,0.0,7.2,13.6,2.9,0.3835,0.3763
Suffolk,New York,2020-04-21,26.1,53.7,206,10.8,10.8,0.0,8.1,11.8,5.6,0.4016,0.4018
