state,county,outage_days,total_days,max_customers,avg_customers,total_cust_hours,outage_rate,state_risk,risk_score,risk_level
Pennsylvania,Erie,46,516,46555.0,531.187984496124,512912.0,0.08914728682170543,0.68,0.3255,MEDIUM-HIGH
Pennsylvania,Lehigh,46,516,21082.0,347.69767441860466,314966.5,0.08914728682170543,0.68,0.3255,MEDIUM-HIGH
New York,Steuben,21,339,6293.0,204.96165191740414,261206.5,0.061946902654867256,0.72,0.3252,MEDIUM-HIGH
New Hampshire,Carroll,17,406,5806.0,168.21428571428572,266601.25,0.04187192118226601,0.75,0.3251,MEDIUM-HIGH
Pennsylvania,Dauphin,45,510,3602.0,241.49019607843138,200288.0,0.08823529411764706,0.68,0.3249,MEDIUM-HIGH
New York,Oneida,30,491,15307.0,277.78004073319755,396692.5,0.06109979633401222,0.72,0.3247,MEDIUM-HIGH
New York,Warren,25,420,4889.0,200.0595238095238,330363.25,0.05952380952380952,0.72,0.3237,MEDIUM-HIGH
Vermont,Orleans,5,275,8478.0,105.35636363636364,102664.25,0.01818181818181818,0.78,0.3229,MEDIUM-HIGH
New Hampshire,Grafton,14,371,6618.0,181.7277628032345,208539.25,0.03773584905660377,0.75,0.3226,MEDIUM-HIGH
New York,Oswego,27,472,7638.0,226.78389830508473,258041.25,0.057203389830508475,0.72,0.3223,MEDIUM-HIGH
New Hampshire,Cheshire,15,407,8691.0,191.53316953316954,432198.5,0.036855036855036855,0.75,0.3221,MEDIUM-HIGH
Vermont,Franklin,5,320,1656.0,90.6625,96795.5,0.015625,0.78,0.3214,MEDIUM-HIGH
New York,Columbia,24,437,15149.0,195.53546910755148,278502.75,0.05491990846681922,0.72,0.321,MEDIUM-HIGH
New Hampshire,Coos,11,315,4105.0,116.00952380952381,88181.5,0.03492063492063492,0.75,0.321,MEDIUM-HIGH
New Hampshire,Sullivan,12,346,4534.0,134.83815028901734,104103.75,0.03468208092485549,0.75,0.3208,MEDIUM-HIGH
Vermont,Grand Isle,2,140,4357.0,58.76428571428571,11003.25,0.014285714285714285,0.78,0.3206,MEDIUM-HIGH
New Hampshire,Belknap,13,390,13688.0,190.19230769230768,559670.0,0.03333333333333333,0.75,0.32,MEDIUM-HIGH
Vermont,Essex,2,156,1729.0,122.78846153846153,40639.25,0.01282051282051282,0.78,0.3197,MEDIUM-HIGH
New York,Niagara,23,441,13095.0,184.015873015873,196748.75,0.05215419501133787,0.72,0.3193,MEDIUM-HIGH
New York,Schenectady,24,467,6299.0,184.7644539614561,207070.25,0.05139186295503212,0.72,0.3188,MEDIUM-HIGH
Massachusetts,Bristol,49,505,43126.0,490.89306930693067,693301.0,0.09702970297029703,0.65,0.3182,MEDIUM-HIGH
Massachusetts,Nantucket,15,155,12800.0,359.7741935483871,399789.0,0.0967741935483871,0.65,0.3181,MEDIUM-HIGH
Vermont,Caledonia,2,214,2187.0,63.350467289719624,51371.0,0.009345794392523364,0.78,0.3176,MEDIUM-HIGH
Pennsylvania,Pike,36,487,12766.0,276.6016427104723,321920.75,0.07392197125256673,0.68,0.3164,MEDIUM-HIGH
New York,Yates,9,190,2193.0,118.64736842105263,68102.0,0.04736842105263158,0.72,0.3164,MEDIUM-HIGH
Vermont,Lamoille,2,285,1409.0,66.69122807017544,79178.25,0.007017543859649123,0.78,0.3162,MEDIUM-HIGH
Pennsylvania,Luzerne,35,486,11640.0,255.84979423868313,226447.25,0.0720164609053498,0.68,0.3152,MEDIUM-HIGH
